,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,备注,版本号,解决情况,,,,,
FALSE,,,,,,,"终端类型：
系统版本：
问题操作描述：",,,,,,,,,,
TRUE,,丹丽,,3月16日,Android,,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：一键登陆，等待时间很长，一直显示“请求发送中”，安装后首次登陆更明显",,,,Android 1.2.0,统一认证SDK 首次获取token 用户必须在打开数据网络情况下才能成功获取,,,,,
TRUE,,欧龙,,3月16日,Android,功能缺失,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】-【SIM盾签名】-【搜索】；搜索内有内容时，应该有取消按钮；（UI的交叉按钮可不加）；",,最重要,,Android 1.2.0,,,,,,
TRUE,,少东,,3月16日,Android,兼容性问题,终端类型：华为 荣耀 8X，首次下载安装后进入登录模块，选择三种登录方式均提示遇到网络问题，此时连接4G，网络正常，退出APP重新进入才可正常登录,,最重要,,Android 1.2.0,,,,,,
TRUE,,丹丽,,3月16日,,,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：从【超级SIM】菜单页，页面高度不对，部分被状态栏遮挡",,最重要,,Android 1.2.0,,,,,,
TRUE,,少东,,3月16日,Android,逻辑错误,选择短信验证码登录时，收到的短信后缀为【超级 SIM APP】应改为【移动号卡管家】,,一般,,Android 1.2.0,这是需要统一认证配置的，是统一认证下发的短信。,,,,,
TRUE,,欧龙,,3月16日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】；各模块，首次点击时，会有一瞬间显示为无记录的页面，需显示loading；且无记录的页面顶部的文字标注的排版和有记录时的排版不一样，需对其一致；",,最重要,,Android 1.2.0,,,,,,
TRUE,,丹丽,,3月16日,Android,功能缺失,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：【消息管理】中搜索功能异常，输入文字后不会自动筛选更新列表",,最重要,,Android 1.2.0,,,,,,
TRUE,,少东,,3月16日,Android,逻辑错误,登录时选择SIM快捷登录，电话号码输入框默认显示13539493563，显示有误，此处提示文字应为，请输入您的电话号码。另外，输入框下提示文字为，登录请求已通过SIM消息发送，但此时尚未点击登录按钮，逻辑有误,,一般,,Android 1.2.0,已解决 需重新发包,,,,,
TRUE,,少东,,3月16日,Android,功能缺失,SIM快捷登录无法正常使用,,最重要,,Android 1.2.0,SIM快捷需要接到正式服才能使用,,,,,
TRUE,,少东,,3月16日,Android,功能缺失,登录流程中点击用户协议、隐私政策、中国移动认证服务条款等无法显示对应界面,,一般,,Android 1.2.0,已解决 需重新发包,,,,,
TRUE,,欧龙,,3月16日,Android,逻辑错误,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】图表仅有11个月，应该是12个月，且时间最新时间应该是本月3月；",后端bug,最重要,,Android 1.2.0,,,,,,
TRUE,,欧龙,,3月16日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】-【SIM盾签名】；顶部的文字标注的位置和其他SIM认证、eid的文字标注位置不一致；",,一般,,Android 1.2.0,,,,,,
TRUE,,欧龙,,3月16日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】图表选择对应柱状条时弹出文字浮窗时，较难难选中；（1月份的最难按）",,一般,,Android 1.2.0,,,,,,
TRUE,,丹丽,,3月23,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：未登陆用户点击【消息管理】没有提示登陆，而是直接进入消息管理界面
期望：未登录用户点击【消息管理】显示登陆引导页",,最重要,,Android 1.2.4,,,,,,
TRUE,,少东,,3月23日,Android,逻辑错误,未登陆状态下点击首页消息管理和出示eID以及电话加V可以直接进入对应界面，逻辑有误，正常逻辑应该弹出登陆界面,,最重要,,Android 1.2.4,,,,,,
TRUE,,丹丽,宇鹏,3月23,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：安装后首页轮播banner区域默认为空，整个首页高度异常
期望：安装后首页轮播banner预期有默认占位内容，app预置，请求后台有更新再刷新",,一般,,Android 1.2.4,,,,,,
TRUE,,少东,,3月23日,Android,界面优化,首次进入APP的引导页仍然显示APP名称为“移动号卡管家”，UI应提供更换了APP名称的引导页给开发替换，APP名称为超级号,,一般,,Android 1.2.4,,,,,,
TRUE,,欧龙,,3月23日,Android,功能缺失,"终端类型：redmi k20 pro
系统版本：android 10
问题：【口令管理】重置SIM认证口令点击时，显示请求发送中，但是没有返回结果；",,最重要,,Android 1.2.4,,,,,,
TRUE,,欧龙,,3月23日,Android,功能缺失,"终端类型：redmi k20 pro
系统版本：android 10
问题：【口令管理】重置SIM盾口令中点击记得时，没有显示弹窗说明请求下发成功",,一般,,Android 1.2.4,,,,,,
TRUE,,丹丽,,3月24日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：消息管理列表的消息没有按时间顺序由近及远显示
期望：按需求定义的排序方式进行排序，时间展示效果按需求定义修改",,最重要,,Android 1.2.4,,,,,,
TRUE,,丹丽,,3月24日,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：消息管理编辑状态下【已读】和【删除】按钮UI效果没有高亮和置灰的差异
期望：UI提供新的效果图，无任何勾选状态先高亮显示【全部已读】，有勾选状态下高亮显示【已读】和【删除】",,一般,,Android 1.2.4,,,,,,
