,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,
FALSE,,广榕,王创彬,2020年5月20日,Android,功能优化,个人信息界面-查看本地文件，文件多时，加载比较慢，但用户无感知,,一般,验证通过,,Android 2.2.2,"测试时间：2020.05.22 09:16
测试验证已修复",,,
FALSE,,广榕,张勇,2020年5月20日,Android,逻辑错误,查看已完成的文件详情，签署详情还是代签,,最重要,验证通过,已修复提交，待重新打包验证,Android 2.2.2,"测试时间：2020.05.22 09:17
测试验证已修复",,,
FALSE,,广榕,张勇,2020年5月20日,Android,功能缺失,查看已完成的文件详情，点击保存文件无任何反应，保存失败,,最重要,验证通过,土司已经添加，待重新打包测试验证,Android 2.2.2,"测试时间：2020.05.22 09:20
测试验证已修复",,,
FALSE,,广榕,王创彬,2020年5月20日,Android,逻辑错误,"企业账号发起的签署，发起的签署文件在个人账号里展示
备注：该BUG定位到当企业账号发起签署时，发起人是个人账号",,最重要,验证通过,已修复 需重新打包,Android 2.2.2,"测试时间：2020.05.22 09:26
测试验证已修复",,,
FALSE,,广榕,林梓杰,2020年5月20日,Android,逻辑错误,切换至企业账号，点击待我签，进入文件列表界面，然后返回SIM签界面，最近的文件展示的都是个人账号的,,最重要,验证通过,,Android 2.2.2,"测试时间：2020.05.23 10:19
测试验证通过",,,
FALSE,,广榕,林梓杰,2020年5月20日,Android,功能优化,用户已开通SIM盾，首次安装后登陆超级号，进入SIM签时还是会弹窗提示“提示经检测，您的手机卡具备SIM盾能力，申请后可在签署文件时使用更安全的SIM盾签署，建议您立即申请”,,一般,验证通过,,Android 2.2.2,"测试时间：2020.05.23 21:49
测试验证已修复",,,
FALSE,,广榕,王创彬,2020年5月20日,Android,逻辑错误,个人信息界面，查看本地文件，APP闪退,,最重要,验证通过,已修复 需重新打包,Android 2.2.2,"测试时间：2020.05.22 09:27
测试验证已修复",,,
FALSE,,清云,,2020年5月20日,Android,逻辑错误,未实名认证点击发起签署和文件签署时没有弹出实名认证窗，进入SIM签时点击实名认证弹窗取消后，签署文件没有提示请先在个人信息中完成实名认证，点击选择签章闪退到主页面，点击手写签名可进行下一步操作,未实名不能进入sim签，此bug不复存在,一般,未复现,未实名不能进入sim签，此bug不复存在,Android 2.2.2,,,,
FALSE,,广榕,王创彬,2020年5月20日,Android,功能缺失,发起签署，填写文件信息界面，签署方可重复添加输入且可以发起签署,,最重要,验证通过,已修复,Android 2.2.2,"测试时间：2020.05.22 09:28
测试验证已修复",,,
FALSE,,清云,张勇,2020年5月20日,Android,逻辑错误,签署文件再次点击选择签章，没有替换已放置的图片,,一般,验证通过,已修改为必须先关掉原有印章，才能手写或打开新的印章,Android 2.2.2,"测试时间：2020.05.22 09:30
测试验证已修复",,,
