待修复,编号,测试人员,维修人员,日期,系统,功能优化,快显消息管理,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,,,,
FALSE,,丹丽,,2020/5/7,Android,功能缺失,本地短信接管,"问题：启动后没有弹窗获取短信读写授权
期望：启动后弹窗引导用户授权短信读写权限","终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,非bug,,,,,,
TRUE,,广榕,,2020/5/7,Android,逻辑错误,,安装APP后禁止所有权限，无法使用一键登录（提示“请允许电话权限），无权限弹窗,,最重要,待修复,,,,,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,快显消息管理界面已接收消息显示为空，无法同步任何消息,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.12 11:51
验证测试通过，待产品确认",,,,,,
FALSE,,广榕,,2020/5/7,Android,逻辑错误,本地短信接管,进入消息管理页面，权限申请-允许后，禁止访问通讯录，禁止发送和查看消息，APP闪退,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.13 15:45
测试验证通过，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,已授权获取本地短信后，“通知消息”分组中不能自动过滤106开头的短信内容；另外无内容时，应该已授权的仅显示“无短信消息内容”，不需引导前往设置授权；仅未授权的情况下需要显示“设置”引导入口,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证不通过,,,"测试时间：2020.05.08 21:06
外无内容时,还提示“请前往设置授权”",,,mark,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,快显消息引导发送入口，需要预置收件人手机号为登录手机号；目前没有收件人为0还可以发送，发送后发送记录会显示为-1，请修复,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：18
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,界面优化,本地短信接管,消息管理授权弹窗样式跟APP的整体样式不一致，需要UI更新原型图,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,,"测试时间：2020.05.08 11：23
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,拒绝本地短信获取授权后，点击“前往设置授权获取”，点击不响应，期望点击弹窗引导用户授权。,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：23
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,2020/5/7,Android,逻辑错误,本地短信接管,安装超级号APP时未授予短信权限，短信权限申请-点击取消并勾选不在提示，本地开通权限后重新进入APP，没有弹出弹窗提示获取短信权限申请,,最重要,,,,目前无刷新机制，待后续优化交互,,,,,,
FALSE,,少东,,2020/5/7,Android,功能缺失,本地短信接管,在消息管理列表中点击未读按钮，界面一直显示正在加载中…，无法退出,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：25
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,本地短信接管,消息管理——管理设置中分组开关无法关闭，点击不响应,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",一般,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：27
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,"进入发送快显消息界面，预置的说明内容多了“【快显消息由xxxxxx发出】”的文字内容
期望：默认进去预置内容不需要显示【】内容，用户点击消息输入框，已实名认证且设置了二次认证的用户，自动清空输入框内容，显示光标，并预置【快显消息由xxx发出】","终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,待修复,,Android 2.1.5,"测试时间：2020.05.08 11：35
测试验证已修复，待产品确认

文档也没说要清空，非bug,请排期",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,进入快显消息发送界面，没有默认将光标显示在收件人输入框中，且没有显示自动推起处输入键盘,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：38
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,逻辑错误,快显消息管理,点击模板库中的消息，将内容置入消息发送输入框，无需再次置入【签名信息】,"终端类型：坚果 Pro 2
系统版本：Android7.1.1",最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.08 11：40
测试验证已修复，待产品确认",,,,,,
FALSE,,少东,,2020/5/7,Android,逻辑错误,快显消息管理,选择模板后无法发送快显消息，签名重复，按钮不可点击,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.09 17:08
测试验证已修复，待产品确认",,,,,,
TRUE,,清云,,2020/5/7,Android,功能缺失,本地短信接管,选择一条信息/一个分组/一条分组内消息，左滑都没有置顶按钮,,最重要,,,,"置顶功能这期暂不做
非BUG",,,,,,
FALSE,,少东,,2020/5/7,Android,逻辑错误,本地短信接管,在安装APP时已经未应用授权，但进入通知消息中，仍然提示无短信消息内容，请前往设置授权获取,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.11 09:57
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,2020/5/7,Android,界面优化,本地短信接管,短信消息内容不会遮挡输入键盘时不需要将，页面上移,,最重要,验证通过,,Android 2.1.5,,,,,,,
FALSE,,少东,,2020/5/7,Android,逻辑错误,本地短信接管,将短信标记为重要，在重要消息中将此条消息移除分组，在消息列表中此条消息消失了。,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.09 14:58
测试验证已修复，待产品确认",,,,,,
FALSE,,清云,,2020/5/7,Android,逻辑错误,本地短信接管,选择短信消息点击删除，没有弹窗引导用户确认是否删除短信,,最重要,验证通过,,,"测试时间：2020.05.09 14:59
测试验证已修复，待产品确认",,,,,,
FALSE,,丹丽,,202/05/07,Android,逻辑错误,快显消息管理,已实名用户进入快显消息发送界面，没有引导用户做二次认证设置,,最重要,验证通过,,Android 2.1.5,"测试时间：2020.05.11 09:56
测试验证已修复，待产品确认",,,,,,
