,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,
,,广榕,,2020/6/2,iOS,功能优化,新增/编辑名片，取消和确定按钮会点了没有反应，要精准点击中按钮名称才行,,不紧急,,,,,,,
,,广榕,,2020/6/4,Android,功能优化,首次安装，在立即进入界面，有时需要点击多次“立即进入”按钮，才跳转至登录界面,,最重要,验证通过,,,,,,
,,广榕,,2020/6/11,Android,界面优化,后台服务重启后，快显发送很慢，且发送过程没有loading效果,,一般,,,,,,,
,,广榕,,2020/6/12,Android,界面优化,快显消息已接受消息，编辑状态下，需求点击到小圈才能选中,,一般,,,,,,,
,,广榕,,2020/6/12,Android,界面优化,快显消息-二次认证设置，改用其他认证方式是要点X按钮,调用系统按钮,不紧急,验证通过,,,,,,
,,广榕,,2020/6/12,Android,界面优化,已接收快显消息增量同步有点慢,SIM认证侧提高查询性能,,,,,,,,
,,广榕,,2020/6/12,Android,界面优化,今日已发和本月已发数没有时时同步,连子,一般,,,,,,,
,,广榕,,2020/6/12,Android,界面优化,5G快签，SIM盾签署时，发起等待SIM完成签署过程中，选择签署弹窗还在,增加loading加载页面，同时关闭弹窗,最重要,,,,,,,
,,广榕,,2020/6/13,Android,界面优化,通话记录列表时不时跳动刷新，页面列表会闪一下,,最重要,验证通过,,,,,,
,,广榕,,2020/6/13,Android,界面优化,陌生人详情，顶部展示是不是改个名字。现在陌生人统一展示联系人,待产品确认,不紧急,,,,,,,
,,广榕,,2020/6/13,Android,界面优化,编辑名片是，关联联系人按钮被遮挡,,一般,,,,,,,
,,广榕,,2020/6/14,Android,界面优化,消息管理功能，编辑状态是否支持筛选,待产品确认,一般,,,,,,,
,,,,2020/6/15,Android,,消息模板查询慢,需要和产品确认方案,一般,,,,,,,
,,,,2020/6/27,Android,,快显消息记录，同时点击多条记录，会打开多个界面,,一般,,,,,,,
,,,,2020/6/27,Android,,5G快签，签署等待回调时应加个loading,,一般,,,,,,,
,,,,2020/6/27,Android,,5G快签，下载文件详情时应加个loading,,一般,,,,,,,
,,,,2020/6/28,Android,,点击新增名片，过一会才把新增名片页顶到最上方，点击过快就不会推上去了,,一般,,,,,,,
,,,,2020/6/28,Android,,通讯安全防护，添加黑名单时，按钮要点中字体才生效,,一般,,,,,,,
,,,,2020/6/28,Android,,添加黑名单时，添加单个号码弹窗确定按钮要点击字体才有效,,一般,,,,,,,
,,,,2020/6/28,Android,,重新下载安装，有时需要重启APP才能把消息置顶,,最重要,,,,,,,
,,,,2020/6/28,Android,,强制杀掉进程，重新进入APP需要登录两次，第一次登录显示您的账号已在其他设备登录，要二次登录才能成功,,一般,,,,,,,
,,,,2020/6/28,Android,,发起SIM签署，接收方有时能收到系统消息通知，有时没有收到,,最重要,,,,,,,
,,,,2020/6/29,iOS,,发送快显消息界面，输入键盘把“我的模板”给挡住了,,一般,,,,,,,
,,,,2020/6/30,Android,,短信管理界面，不给照片权限，但给了短信权限，APP出现闪退,,最重要,,,,,,,
,,,,2020/6/30,iOS,,IOS端，切换账号后，没有自动刷新一次快显接收/发送记录，需重启APP才会自动刷新,,,,,,,,,
,,,,2020/7/1,Android,,5G快签-个人信息，更改短信通知按钮提示网络异常,,最重要,验证通过,,,,,,
,,,,2020/7/1,Android,,设置分组，未分组设置了备注框但是不能备注，且删除未分组名单会让订单页面刷为空白,,,,,,,,,
,,,,2020/7/1,Android,,通讯录里新建联系人填完信息后再次进入，公司和职位不显示，分组和备注也会消失,,,,,,,,,
,,,,2020/7/1,Android,,"设置界面，通用设置""快显限制”显示为null为反馈实际次数，意见反馈电话联系显示为必填，但是没有添加正确认证，",,,,,,,,,
,,,,2020/7/1,Android,,(奇怪的bug)陌生人加V电话来电，通过点击名片添加联系人，在特定的号码和手机会出现添加完联系人出现两个号码（同样的号码标签不同）,,,,,,,,,
,,,,2020/7/1,Android,,通讯安全防护，若在弹窗授权时，都点击了“禁止后不再提示”，后续如果想开启找不到开启权限路径,,,,,,,,,
,,,,2020/7/1,iOS,,IOS端，快显消息已接收消息和发送记录不能下拉刷新,,,,,,,,,
,,,,,,,不登入(不实名认证)账号进入签证添加手写签名，第一张无法删除,,,,,,,,,
,,,,,,,公正服务，待开放能进入学历认证，而且学历认证信息没有加错误提示，图片上传错误提交时的弹窗没加限制能无线弹窗,,,,,,,,,
,,,,,,,权限请求重复，进入短信会要求赋予短信发送和查看的权限，退出中短信验证登入会再次请求,,,,,,,,,
,,,,,,,实名认证位置和职位选择下面的后在进入会重新定位为靠中间的下拉框选项,,,,,,,,,
,,,,,,,实名认证长度不够，新疆维吾尔自治区克孜勒苏。。。自治区  阿图什市(文字超出展示框),,,,,,,,,
,,,,,,,在登录后切换到无网络模式下点击签到会闪退,,,,,,,,,
,,,,,,,在登入状态切换至无网络发送快显消息会闪退,,,,,,,,,
,,,,,,,在套餐页面关闭网络支付会闪退,,,,,,,,,
,,,,,,,联系人分组，未分组界面可否把备注去掉，不能点击输入看着像bug,,,,,,,,,
